Years	League	Division	PutOuts	Assists	Errors	PAtBat	PAvg	PHRrate	PBBrate	PRBIrate	PRunsRate	AtBat	Avg	HRrate	BBrate	RBIrate	RunsRate	LogSalary	NewLeague
2	N	E	283	8	3	236	0.2542	0.0042	0.1271	0.0805	0.1695	431	0.2947	0.0186	0.1346	0.1044	0.1787	5.3107	N
12	A	E	156	2	2	4196	0.2745	0.0205	0.0667	0.1063	0.1249	283	0.2473	0.0283	0.0954	0.1307	0.1166	5.4161	A
15	A	E	239	8	2	3800	0.2892	0.0192	0.0797	0.1008	0.1416	491	0.2872	0.0224	0.0754	0.0957	0.1568	6.2634	A
6	N	W	235	22	5	606	0.2294	0.0347	0.1089	0.1502	0.1436	199	0.2613	0.0452	0.1055	0.1407	0.1307	5.5797	N
7	A	E	371	6	6	2969	0.2624	0.0273	0.0967	0.1297	0.1428	589	0.2530	0.0357	0.1087	0.1460	0.1511	6.6689	A
10	A	E	483	48	6	3946	0.2633	0.0482	0.0750	0.1617	0.1328	327	0.2569	0.0673	0.1162	0.1896	0.1621	6.6846	N
13	A	W	0	0	0	5365	0.2654	0.0339	0.0746	0.1390	0.1254	464	0.2759	0.0603	0.1121	0.2026	0.1444	6.3759	A
1	N	E	64	119	9	0	*	*	*	*	*	166	0.2048	0.0000	0.1024	0.0783	0.1205	*	N
3	A	E	0	0	0	344	0.2703	0.0523	0.0843	0.1512	0.1337	338	0.2722	0.0533	0.0621	0.1775	0.1243	4.9767	A
9	A	W	245	5	9	2640	0.2913	0.0125	0.1061	0.0928	0.1860	508	0.2874	0.0157	0.0906	0.0866	0.1575	*	A
10	A	E	276	421	11	4120	0.2823	0.0177	0.1245	0.1090	0.1527	584	0.2688	0.0342	0.1079	0.1250	0.1627	6.0403	A
1	N	W	317	36	1	0	*	*	*	*	*	216	0.2500	0.0093	0.1528	0.1157	0.1250	4.3175	N
5	A	E	303	450	14	1071	0.2773	0.0075	0.0943	0.0962	0.1139	625	0.2864	0.0064	0.1040	0.0960	0.1504	6.3544	A
4	N	E	107	3	3	610	0.2869	0.0311	0.0803	0.1377	0.1361	243	0.2181	0.0165	0.1111	0.1070	0.0741	*	N
7	A	W	310	9	9	1562	0.2676	0.0275	0.0762	0.1332	0.1428	489	0.2679	0.0389	0.0695	0.1125	0.1575	6.6593	A
2	N	E	201	6	3	7	0.2857	0.0000	0.0000	0.1429	0.2857	209	0.2679	0.0574	0.0909	0.1722	0.1053	4.4998	N
2	N	W	172	317	25	562	0.2438	0.0107	0.0676	0.0694	0.1317	407	0.2285	0.0197	0.0737	0.0737	0.1155	5.0106	N
13	A	E	0	0	0	2910	0.2928	0.0340	0.0866	0.1419	0.1309	490	0.3020	0.0286	0.1000	0.1592	0.1306	6.5511	N
4	N	E	415	35	3	675	0.2222	0.0119	0.0963	0.1022	0.0681	209	0.2823	0.0287	0.1292	0.1770	0.0957	*	N
6	A	E	233	7	7	974	0.2741	0.0298	0.1057	0.1294	0.1458	442	0.2964	0.0407	0.0747	0.1742	0.1538	6.3099	A
8	A	W	220	16	4	2226	0.2817	0.0112	0.0445	0.1069	0.1029	317	0.2776	0.0095	0.0599	0.1009	0.1262	*	A
9	N	E	259	30	10	2527	0.2505	0.0186	0.0641	0.1144	0.1128	288	0.2257	0.0278	0.0938	0.1250	0.1042	6.4770	A
1	A	W	102	6	3	0	*	*	*	*	*	209	0.2584	0.0144	0.0574	0.0670	0.1196	4.2195	A
3	N	E	468	47	6	41	0.1220	0.0000	0.2195	0.1463	0.0488	303	0.2343	0.0099	0.1188	0.0990	0.0594	4.6052	N
6	N	W	149	8	6	1598	0.2747	0.0444	0.0839	0.1471	0.1252	330	0.2333	0.0576	0.0818	0.1606	0.1424	6.5073	N
3	A	E	103	283	19	581	0.2392	0.0448	0.1033	0.1652	0.1360	504	0.2381	0.0556	0.1071	0.1409	0.1409	5.1648	A
3	A	W	358	32	8	380	0.2895	0.0237	0.0474	0.1105	0.1368	258	0.2326	0.0310	0.0698	0.1279	0.1085	4.9200	A
2	N	E	78	220	6	21	0.3810	0.0952	0.1905	0.3333	0.2857	20	0.0500	0.0000	0.0000	0.0000	0.0000	7.6626	N
7	N	W	756	64	15	1594	0.2666	0.0132	0.1418	0.1085	0.0910	374	0.2513	0.0134	0.1658	0.0695	0.0963	6.7742	N
3	A	W	463	32	8	287	0.2544	0.0139	0.1359	0.0697	0.1150	211	0.2038	0.0474	0.1848	0.1659	0.1232	4.7875	A
3	N	E	212	1	2	281	0.3025	0.0071	0.0641	0.0356	0.1174	299	0.2508	0.0201	0.0870	0.0769	0.1271	4.9416	N
4	N	E	325	12	8	246	0.2642	0.0447	0.0894	0.1382	0.1748	576	0.2899	0.0139	0.0990	0.0851	0.1545	5.3471	N
7	N	E	228	7	5	2634	0.2749	0.0118	0.0516	0.0774	0.1481	381	0.2887	0.0236	0.0840	0.1181	0.1601	6.6846	N
4	N	W	203	3	3	1356	0.2448	0.0066	0.0723	0.0612	0.1209	288	0.2639	0.0243	0.0521	0.1285	0.1181	5.4806	N
5	A	E	149	1	6	889	0.2587	0.0506	0.1215	0.1519	0.1552	369	0.2520	0.0244	0.1328	0.1138	0.1165	5.8579	A
4	N	W	512	30	5	1037	0.2411	0.0415	0.1157	0.1514	0.1273	330	0.2303	0.0364	0.1424	0.1242	0.1061	*	N
2	A	W	261	459	22	491	0.2729	0.0020	0.0244	0.0672	0.1446	547	0.2505	0.0037	0.0219	0.0859	0.1060	5.1648	A
2	A	W	325	13	3	406	0.2389	0.0443	0.0887	0.1034	0.1552	572	0.2657	0.0315	0.1136	0.0857	0.1836	5.2983	A
12	N	W	151	8	5	4633	0.2532	0.0071	0.0790	0.0775	0.1409	359	0.2340	0.0111	0.0585	0.0752	0.1281	*	N
9	N	E	229	453	15	4225	0.2426	0.0031	0.1063	0.0757	0.1221	514	0.2802	0.0000	0.1537	0.1051	0.1304	7.5704	N
7	N	W	682	93	13	1134	0.2460	0.0406	0.0988	0.1358	0.1155	359	0.2228	0.0418	0.1755	0.1337	0.1253	6.5511	N
4	A	W	250	11	1	1030	0.2981	0.0252	0.0942	0.1136	0.1524	526	0.3099	0.0228	0.1464	0.0951	0.1673	6.6201	A
14	N	W	58	141	23	5572	0.2620	0.0170	0.0906	0.1208	0.1271	313	0.2652	0.0288	0.0958	0.1310	0.1374	6.1092	N
1	A	W	157	6	14	0	*	*	*	*	*	540	0.2500	0.0556	0.1019	0.1630	0.1519	5.1475	A
9	A	E	82	170	15	3702	0.2917	0.0189	0.0875	0.0905	0.1659	437	0.2815	0.0206	0.0915	0.1259	0.1419	7.1389	A
5	A	W	1224	115	11	1684	0.2625	0.0309	0.1105	0.1413	0.1140	551	0.2904	0.0417	0.1579	0.1633	0.1561	*	A
24	N	W	523	43	6	13816	0.3043	0.0116	0.1112	0.0933	0.1556	237	0.2194	0.0000	0.1266	0.1055	0.0633	6.6201	N
5	A	E	172	1	4	1021	0.2674	0.0176	0.0823	0.1038	0.1224	236	0.2373	0.0254	0.0890	0.0805	0.1737	5.2470	A
6	A	E	846	84	9	1493	0.2760	0.0154	0.0998	0.1366	0.1266	473	0.3256	0.0127	0.0613	0.1015	0.1290	6.3630	A
5	N	E	117	269	12	45	0.2222	0.0000	0.0000	0.0222	0.1778	309	0.2330	0.0000	0.0841	0.1003	0.1068	4.8675	N
12	A	W	62	90	3	4662	0.2748	0.0092	0.0794	0.0871	0.1276	271	0.2841	0.0185	0.1218	0.1070	0.1292	6.1092	A
5	A	W	167	2	4	1037	0.2392	0.0347	0.0935	0.1418	0.1234	357	0.2689	0.0196	0.1092	0.1261	0.1401	5.7038	A
12	A	E	391	44	4	2580	0.2360	0.0151	0.0709	0.1109	0.0946	216	0.2593	0.0185	0.0694	0.0833	0.1019	5.5215	A
16	N	E	41	118	8	6802	0.2610	0.0440	0.1391	0.1605	0.1357	256	0.2734	0.0508	0.1719	0.1406	0.1641	6.9565	A
3	A	E	286	8	8	186	0.1828	0.0591	0.1613	0.1237	0.1452	466	0.2318	0.0708	0.1545	0.1845	0.1609	5.3706	A
18	A	E	659	53	7	3622	0.2405	0.0179	0.1162	0.0969	0.1093	327	0.2080	0.0398	0.1376	0.0887	0.1284	5.9915	A
7	A	E	866	65	6	1669	0.2780	0.0318	0.0677	0.1336	0.1168	462	0.2576	0.0346	0.0801	0.1407	0.1061	*	A
9	A	E	251	9	4	1990	0.2754	0.0206	0.1146	0.1372	0.1025	341	0.3226	0.0264	0.1349	0.1437	0.1320	6.3279	A
8	A	E	426	4	6	3463	0.2951	0.0217	0.1787	0.0990	0.2114	608	0.2632	0.0461	0.1464	0.1217	0.2138	7.4206	A
20	A	W	0	0	0	9109	0.2645	0.0582	0.1372	0.1758	0.1585	419	0.2411	0.0430	0.2196	0.1384	0.1551	6.1893	A
1	A	W	205	5	4	0	*	*	*	*	*	33	0.1818	0.0000	0.2121	0.1212	0.0606	*	A
5	A	W	0	0	0	1394	0.2339	0.0674	0.0875	0.1714	0.1406	376	0.2181	0.0559	0.0931	0.1596	0.1117	6.0521	A
11	N	E	88	204	16	3481	0.2749	0.0161	0.0701	0.1209	0.1031	486	0.2984	0.0226	0.0823	0.1564	0.1049	6.2146	A
1	N	W	99	3	1	0	*	*	*	*	*	186	0.2366	0.0376	0.0591	0.0860	0.1505	*	N
7	A	W	145	2	2	2114	0.2725	0.0080	0.0733	0.0766	0.1594	307	0.2606	0.0033	0.0945	0.1173	0.1368	*	A
6	A	E	44	0	1	666	0.2372	0.0105	0.1006	0.0856	0.1006	246	0.3089	0.0203	0.0528	0.1585	0.1423	5.5215	A
12	A	E	155	3	2	4929	0.2579	0.0097	0.0897	0.0848	0.1242	205	0.2537	0.0390	0.0829	0.1317	0.1512	5.9915	A
10	A	E	60	176	6	1940	0.2701	0.0165	0.1165	0.1175	0.1263	348	0.2586	0.0316	0.1236	0.1293	0.1437	6.1092	A
9	N	W	367	475	19	2845	0.2671	0.0109	0.0858	0.0844	0.1142	523	0.2581	0.0153	0.0994	0.0841	0.0994	6.6201	N
1	A	E	86	150	15	0	*	*	*	*	*	312	0.2179	0.0064	0.0769	0.0705	0.1026	4.2485	A
7	N	W	155	371	29	2862	0.2666	0.0098	0.0503	0.0863	0.1076	496	0.2399	0.0161	0.0423	0.0665	0.1149	6.7742	N
4	N	E	190	2	9	113	0.1947	0.0000	0.0796	0.0265	0.0708	126	0.2143	0.0238	0.0397	0.0794	0.0635	5.2470	N
6	N	E	181	3	2	686	0.2478	0.0160	0.1618	0.0904	0.1254	275	0.2473	0.0182	0.2218	0.1527	0.1527	5.2523	N
6	N	E	309	492	5	2519	0.2874	0.0238	0.0778	0.1068	0.1691	627	0.2839	0.0223	0.0734	0.1212	0.1085	6.6067	N
4	N	E	203	369	16	695	0.2604	0.0029	0.0576	0.0619	0.0806	394	0.2183	0.0025	0.0914	0.0711	0.0964	5.5215	N
3	N	E	42	94	13	445	0.2539	0.0202	0.0989	0.0652	0.1483	208	0.2740	0.0385	0.0865	0.1202	0.1538	4.9416	N
1	A	W	200	7	6	0	*	*	*	*	*	382	0.2644	0.0419	0.0576	0.1440	0.1309	4.5799	A
12	A	W	0	0	0	4889	0.2569	0.0276	0.1364	0.1233	0.1338	459	0.2462	0.0436	0.1481	0.1242	0.1285	6.6067	A
1	N	W	255	450	17	0	*	*	*	*	*	549	0.2714	0.0128	0.0765	0.0856	0.1330	4.9416	N
10	A	W	135	257	7	2394	0.2523	0.0146	0.0785	0.0944	0.1211	288	0.2188	0.0104	0.0556	0.1146	0.0868	5.8338	A
2	N	W	179	5	3	9	0.3333	0.0000	0.0000	0.0000	0.4444	303	0.2772	0.0132	0.0759	0.1056	0.1155	*	N
13	A	E	352	9	1	6515	0.2849	0.0221	0.0726	0.1199	0.1475	522	0.3123	0.0172	0.1188	0.0881	0.1571	6.9078	A
6	A	W	1236	98	18	1238	0.2383	0.0574	0.0905	0.1519	0.1212	512	0.2285	0.0566	0.0840	0.1719	0.1055	4.6052	A
3	A	W	281	21	3	70	0.2000	0.0000	0.0286	0.0429	0.1000	220	0.3000	0.0227	0.0591	0.1273	0.0909	4.4998	A
4	N	E	1320	166	17	208	0.2163	0.0288	0.1250	0.1394	0.0962	522	0.2682	0.0307	0.1149	0.1475	0.1398	5.2983	N
2	A	W	111	226	11	219	0.2192	0.0274	0.0639	0.0959	0.1005	461	0.2430	0.0390	0.0759	0.1171	0.1171	4.9053	A
2	N	E	320	465	32	250	0.2600	0.0160	0.0760	0.0720	0.1600	581	0.2496	0.0293	0.0361	0.1170	0.1136	5.0434	N
6	A	W	196	354	15	1089	0.2452	0.0073	0.1065	0.0909	0.1249	530	0.3000	0.0057	0.0887	0.0943	0.1547	6.1633	A
18	N	W	1160	53	7	8202	0.2976	0.0305	0.0555	0.1485	0.1317	557	0.2549	0.0377	0.0413	0.1454	0.1041	7.2793	N
4	N	E	229	406	22	272	0.1912	0.0037	0.1250	0.0735	0.0882	439	0.2187	0.0000	0.1481	0.0820	0.1002	5.0106	N
2	A	W	289	407	6	54	0.3704	0.0000	0.1111	0.1111	0.1852	453	0.2274	0.0177	0.1148	0.0728	0.1170	4.6540	A
4	A	W	209	372	17	1188	0.2365	0.0093	0.0875	0.0850	0.1212	528	0.2311	0.0019	0.0966	0.0852	0.1269	5.8579	A
6	N	W	367	432	16	2437	0.2716	0.0053	0.0882	0.0714	0.1350	633	0.3318	0.0095	0.0932	0.0885	0.1438	4.4998	N
2	A	E	247	4	8	12	0.1667	0.0000	0.0000	0.0000	0.0000	16	0.1250	0.0000	0.0000	0.0000	0.0625	*	A
8	A	E	351	442	17	2619	0.2566	0.0168	0.1222	0.1027	0.1382	562	0.3007	0.0302	0.0943	0.1299	0.1566	6.2729	A
8	A	E	106	144	7	2377	0.2444	0.0189	0.0669	0.1157	0.1186	281	0.2705	0.0107	0.0712	0.0890	0.1495	5.8338	A
6	A	W	315	10	6	2172	0.2459	0.0506	0.1234	0.1423	0.1381	593	0.2563	0.0388	0.0894	0.1265	0.1164	6.8459	A
4	A	E	294	445	13	831	0.2828	0.0060	0.0746	0.0866	0.1264	687	0.3100	0.0146	0.0393	0.0946	0.1325	5.8579	A
8	N	W	209	246	3	1529	0.2551	0.0039	0.0942	0.0876	0.1040	368	0.2799	0.0082	0.1467	0.0761	0.1304	5.7889	N
4	N	E	81	147	4	625	0.2400	0.0128	0.0896	0.0944	0.0912	263	0.2662	0.0038	0.1141	0.0875	0.0989	5.5215	N
5	N	W	337	19	4	1722	0.3246	0.0075	0.0819	0.0993	0.1423	642	0.3287	0.0218	0.0810	0.0919	0.1667	6.6067	N
7	N	W	92	5	3	1072	0.2528	0.0224	0.0924	0.1241	0.1017	265	0.2566	0.0302	0.1094	0.1132	0.0981	6.0521	A
17	A	W	166	211	7	7113	0.2659	0.0264	0.1559	0.1234	0.1517	289	0.2180	0.0242	0.1522	0.1419	0.1246	*	A
8	N	E	352	414	9	2603	0.2816	0.0054	0.1099	0.1106	0.1433	559	0.2522	0.0036	0.1306	0.1091	0.0859	6.8298	N
4	A	W	70	144	11	407	0.2629	0.0123	0.0762	0.0885	0.1302	520	0.2308	0.0327	0.0404	0.0846	0.1019	5.2204	A
1	N	W	692	70	8	0	*	*	*	*	*	19	0.2105	0.0526	0.0526	0.1579	0.1053	6.8244	A
7	N	E	131	6	1	649	0.2712	0.0154	0.0786	0.1263	0.1248	205	0.2098	0.0098	0.0976	0.0829	0.1171	5.6583	N
6	A	W	299	13	5	943	0.2216	0.0339	0.0870	0.1166	0.1145	193	0.2435	0.0518	0.1244	0.1503	0.1088	5.5013	A
5	A	E	37	98	9	756	0.2540	0.0106	0.1151	0.1019	0.0913	181	0.2541	0.0055	0.0939	0.0994	0.1050	*	A
17	A	W	178	45	4	3848	0.2817	0.0205	0.0626	0.1219	0.1224	213	0.2864	0.0188	0.0141	0.1033	0.0798	5.4596	A
7	N	E	810	99	18	2362	0.2854	0.0224	0.0512	0.1219	0.1063	510	0.2882	0.0196	0.1039	0.1020	0.1098	7.0475	N
3	N	E	133	371	20	821	0.2667	0.0073	0.0646	0.1242	0.1133	578	0.2388	0.0017	0.0588	0.1021	0.0969	5.0752	N
23	N	W	398	29	7	9578	0.2799	0.0394	0.0940	0.1695	0.1313	200	0.2550	0.0100	0.1250	0.1450	0.0700	*	N
5	A	W	160	290	11	1105	0.2570	0.0109	0.1041	0.0878	0.1357	441	0.2562	0.0113	0.1723	0.1179	0.1723	6.0521	A
10	N	W	65	0	0	3914	0.2831	0.0138	0.0999	0.0892	0.1436	172	0.2442	0.0174	0.0872	0.0814	0.0988	6.8024	N
8	N	E	270	13	6	2792	0.2987	0.0140	0.1400	0.0903	0.1837	580	0.3345	0.0155	0.1345	0.1069	0.1569	*	N
19	N	W	167	18	6	8269	0.2866	0.0288	0.0976	0.1600	0.1250	127	0.2520	0.0315	0.0945	0.1969	0.1102	6.2146	N
4	N	E	133	173	9	1080	0.2648	0.0250	0.1167	0.1083	0.1343	279	0.2473	0.0143	0.1147	0.1111	0.1254	5.6258	N
7	N	E	94	270	16	2551	0.2583	0.0361	0.0764	0.1313	0.1129	480	0.2333	0.0375	0.0917	0.1479	0.1042	6.6201	N
2	N	E	300	12	9	636	0.2673	0.0016	0.0786	0.0629	0.1682	600	0.2317	0.0000	0.1000	0.0483	0.1567	5.0752	N
6	N	E	1182	96	13	2118	0.2677	0.0236	0.1001	0.1265	0.1379	610	0.3049	0.0311	0.1213	0.1607	0.1754	7.1701	N
7	N	E	170	284	3	1908	0.2542	0.0189	0.1095	0.1116	0.1268	360	0.2250	0.0139	0.1028	0.1222	0.1028	6.2634	N
7	N	E	186	290	17	1388	0.2752	0.0036	0.1138	0.0706	0.1477	387	0.3204	0.0026	0.0930	0.0698	0.1731	6.3099	N
5	A	E	121	267	19	2198	0.3508	0.0109	0.1419	0.1142	0.1670	580	0.3569	0.0138	0.1810	0.1224	0.1845	7.3778	A
1	N	W	942	72	11	0	*	*	*	*	*	408	0.2868	0.0270	0.0833	0.1005	0.1618	4.7875	N
1	A	W	1222	139	15	0	*	*	*	*	*	593	0.2901	0.0371	0.0961	0.1686	0.1383	5.1059	A
8	N	E	325	58	6	842	0.2732	0.0154	0.0998	0.1200	0.1021	221	0.2398	0.0090	0.0995	0.1041	0.0950	*	N
5	N	E	325	9	3	2206	0.3078	0.0113	0.0458	0.1192	0.1423	497	0.2555	0.0141	0.0744	0.0966	0.1308	6.5511	N
12	A	E	313	381	20	5019	0.2740	0.0068	0.1556	0.0799	0.1636	492	0.2764	0.0102	0.1911	0.1016	0.1545	6.7742	A
6	A	W	37	113	7	1225	0.2506	0.0033	0.0767	0.0408	0.1273	475	0.2653	0.0063	0.1095	0.0905	0.1284	5.9532	A
8	A	E	1314	131	12	2625	0.2716	0.0335	0.0968	0.1371	0.1467	573	0.2513	0.0157	0.1361	0.1047	0.1483	6.8669	A
11	A	W	408	4	3	4277	0.3009	0.0049	0.0510	0.0732	0.1632	631	0.2694	0.0143	0.0491	0.0697	0.1220	6.9078	A
